Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
ADA4099-2,0.0000004,0.000000004,8000000,0.000000004,118,0.00000015,,,0.0000000000005,2,8000000,4,0.00004,0.000000007,0.00000001,0.0015,3.15,50,10-Lead DFN (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
ADA4097-1,,0.0000000003,,0.0000000001,145,0.000001,,,0.00000000000005,1,130000,0.1,0.00006,0.000000053,0.0000000003,0.0000325,3,50,6-Lead TSOT
ADA4098-1,,0.0000000007,1050000,0.00000000035,120,0.0000004,,,0.00000000000015,1,1050000,0.4,0.00003,0.000000018,0.0000000007,0.0001625,3,55,6-Lead TSOT
ADA4099-1,,0.000000004,8000000,0.000000004,120,0.00000015,,,0.0000000000005,1,8000000,4,0.00003,0.000000007,0.00000001,0.0015,3.15,55,6-Lead TSOT
LTC2068,,0.000000000065,,0.000000000005,111,0.0000017,0.000000082,0.000000000000035,0.000000000000035,4,100000,0.0175,0.000005,0.00000008,0.000000000035,0.0000075,1.7,5.25,14-Lead TSSOP 16-Lead Plastic QFN
ADA4523-1,,0.0000000006,,125,140,0.000000088,0.0000000042,0.0000000000011,0.000000000001,1,5000000,1.85,0.000004,0.0000000042,0.0000000003,0.0045,4.5,36,8-Lead LFCSP (3mm x 3mm x 0.75mm) 8-Lead SOIC 8-Lead MSOP
LTC2065,,0.00000000002,,0.000000000003,111,0.0000046,0.00000022,0.000000000000012,0.000000000000012,4,20000,0.0035,0.000005,0.00000022,0.00000000002,0.0000014,1.7,5.25,14-Lead TSSOP 16-Lead Plastic QFN
LTC6226,,0.00000035,330000000,0.0000084,100,0.00000077,0.00000006,0.0000000004,0.0000000000024,1,420000000,180,0.000095,0.000000001,0.00002,0.0055,2.8,11.75,SOIC 150 MIL 6-Lead TSOT-23 16-Lead MSOP 6-Lead DFN (2mm x 2mm w/ EP)
LTC6227,,0.00000035,330000000,0.0000084,100,0.00000077,0.00000006,0.0000000004,0.0000000000024,2,420000000,180,0.000095,0.000000001,0.00002,0.0055,2.8,11.75,8-Lead MSOP w/ EP 10-Lead DFN (3mm x 3mm w/ EP)
