Part Number,Current Noise Density (typ),GBP (typ) Hz,BW -3 dB (typ) Hz,Slew Rate (typ) V/us,Vos (max) V,VNoise Density (typ) V/rtHz,Ibias (max) A,Rail to Rail,Iq/Amp (typ) A,Vs span (min) V,Vs span (max) V
ADA4097-2,0.00000000000005,130000,,0.1,0.00006,0.000000053,0.0000000003,Both,0.0000325,3,50
ADA4098-2,0.00000000000015,1050000,1050000,0.4,0.000035,0.000000017,0.0000000007,Both,0.000165,3,50
MAX40263,,15000000,15000000,7,0.00005,0.0000000127,0.0000000000015,Both,0.00075,1.8,5.5
ADA4099-2,0.0000000000005,8000000,8000000,4,0.00004,0.000000007,0.00000001,Both,0.0015,3.15,50
ADA4077-4S,,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30
ADA4097-1,0.00000000000005,130000,,0.1,0.00006,0.000000053,0.0000000003,Both,0.0000325,3,50
MAX40024,0.00000000000001,80000,80000,0.02,0.0004,0.000000032,0.000000000005,Both,0.000017,1.6,3.6
MAX40110,0.0000000000001,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5
MAX40111,0.0000000000001,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5
ADA4098-1,0.00000000000015,1050000,1050000,0.4,0.000035,0.000000017,0.0000000007,Both,0.000165,3,50
ADA4099-1,0.0000000000005,8000000,8000000,4,0.00003,0.000000007,0.00000001,Both,0.0015,3.15,55
MAX40023,0.00000000000001,80000,80000,0.02,0.0004,0.000000032,0.000000000005,Both,0.000017,1.6,3.6
LTC2068,0.000000000000035,100000,,0.0175,0.000005,0.00000008,0.000000000035,Both,0.0000075,1.7,5.25
ADA4523-1,0.000000000001,5000000,,1.85,0.000004,0.0000000042,0.0000000003,Output,0.0045,4.5,36
LTC2065,0.000000000000012,20000,,0.0035,0.000005,0.00000022,0.00000000002,Both,0.0000014,1.7,5.25
LTC6226,0.0000000000024,420000000,330000000,180,0.000095,0.000000001,0.00002,In to V- Output,0.0055,2.8,11.75
LTC6227,0.0000000000024,420000000,330000000,180,0.000095,0.000000001,0.00002,In to V- Output,0.0055,2.8,11.75
LTC6229,0.000000000003,890000000,730000000,500,0.000095,0.00000000088,0.0000025,In to V- Output,0.016,2.8,11.75
ADA4625-2,0.0000000000000045,18000000,16000000,48,0.0001,0.0000000033,0.000000000075,In to V- Output,0.004,5,36
LTC6228,0.000000000003,890000000,730000000,500,0.000095,0.00000000088,0.0000025,In to V- Output,0.016,2.8,11.75
ADHV4702-1,0.000000000000001,10000000,10000000,74,0.001,0.000000008,0.000000000002,,0.003,24,220
LTC2050HV,0.000000000000003,3000000,,2,0.000003,,0.00000000005,In to V- Output,0.0008,2.7,11
LTC2064,0.000000000000012,20000,,0.0035,0.000005,0.00000022,0.00000000002,Both,0.0000014,1.7,5.25
