Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
ADA4097-2,0.00000000000005,69,2,130000,,0.1,0.00006,0.000000053,0.0000000003,Both,0.0000325,3,50,4.395,9,10-Lead DFN (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
ADA4098-2,0.00000000000015,21,2,1050000,1050000,0.4,0.000035,0.000000017,0.0000000007,Both,0.000165,3,50,4.395,9,10-Lead DFN (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
MAX40263,,1627,2,15000000,15000000,7,0.00005,0.0000000127,0.0000000000015,Both,0.00075,1.8,5.5,0.62,3.5475,"Ultra Thin Quad Flatpack, No Leads"
ADA4099-2,0.0000000000005,0,2,8000000,8000000,4,0.00004,0.000000007,0.00000001,Both,0.0015,3.15,50,4.395,9,10-Lead DFN (3mm x 3mm w/ EP) CHIPS OR DIE 8-Lead SOIC 8-Lead MSOP
ADA4077-4S,,,2,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30,,,CER. FLATPACK WITH LEADS
ADA4097-1,0.00000000000005,0,1,130000,,0.1,0.00006,0.000000053,0.0000000003,Both,0.0000325,3,50,2.985,8.12,6-Lead TSOT
MAX40024,0.00000000000001,,2,80000,80000,0.02,0.0004,0.000000032,0.000000000005,Both,0.000017,1.6,3.6,0.92,,9-WLCSP-N/A
MAX40110,0.0000000000001,86526,1,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5,0.44,,6-LGA-1.5X1X0.5
MAX40111,0.0000000000001,90892,1,,15000000,7,0.00005,0.0000000127,0.0000000000005,Both,0.00075,1.7,5.5,0.44,,6-WLCSP-N/A
ADA4098-1,0.00000000000015,196,1,1050000,1050000,0.4,0.000035,0.000000017,0.0000000007,Both,0.000165,3,50,2.985,8.12,6-Lead TSOT
ADA4099-1,0.0000000000005,146,1,8000000,8000000,4,0.00003,0.000000007,0.00000001,Both,0.0015,3.15,55,2.985,8.12,6-Lead TSOT
MAX40023,0.00000000000001,341297,1,80000,80000,0.02,0.0004,0.000000032,0.000000000005,Both,0.000017,1.6,3.6,0.56,,6-WLCSP-N/A
LTC2068,0.000000000000035,0,4,100000,,0.0175,0.000005,0.00000008,0.000000000035,Both,0.0000075,1.7,5.25,3.84,9,14-Lead TSSOP 16-Lead Plastic QFN
ADA4523-1,0.000000000001,693,1,5000000,,1.85,0.000004,0.0000000042,0.0000000003,Output,0.0045,4.5,36,1.635,9,8-Lead LFCSP (3mm x 3mm x 0.75mm) 8-Lead SOIC 8-Lead MSOP
LTC2065,0.000000000000012,16,4,20000,,0.0035,0.000005,0.00000022,0.00000000002,Both,0.0000014,1.7,5.25,3.84,9,14-Lead TSSOP 16-Lead Plastic QFN
LTC6226,0.0000000000024,548,1,420000000,330000000,180,0.000095,0.000000001,0.00002,In to V- Output,0.0055,2.8,11.75,2.88,4,SOIC 150 MIL 6-Lead TSOT-23 16-Lead MSOP 6-Lead DFN (2mm x 2mm w/ EP)
LTC6227,0.0000000000024,556,2,420000000,330000000,180,0.000095,0.000000001,0.00002,In to V- Output,0.0055,2.8,11.75,4.185,9,8-Lead MSOP w/ EP 10-Lead DFN (3mm x 3mm w/ EP)
LTC6229,0.000000000003,113,2,890000000,730000000,500,0.000095,0.00000000088,0.0000025,In to V- Output,0.016,2.8,11.75,4.185,9,8-Lead MSOP w/ EP 10-Lead DFN (3mm x 3mm w/ EP)
ADA4625-2,0.0000000000000045,7700,2,18000000,16000000,48,0.0001,0.0000000033,0.000000000075,In to V- Output,0.004,5,36,8.805,31,8-Lead SOIC w/ EP
LTC6228,0.000000000003,16141,1,890000000,730000000,500,0.000095,0.00000000088,0.0000025,In to V- Output,0.016,2.8,11.75,3.045,4,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23 6-Lead DFN (2mm x 2mm w/ EP)
ADHV4702-1,0.000000000000001,99,1,10000000,10000000,74,0.001,0.000000008,0.000000000002,,0.003,24,220,,49,12-Lead LFCSP (7mm x 7mm x 0.75mm w/ EP)
LTC2050HV,0.000000000000003,1394,1,3000000,,2,0.000003,,0.00000000005,In to V- Output,0.0008,2.7,11,2.355,8.12,8-Lead SOIC (Narrow 0.15 Inch) 5-Lead TSOT-23 6-Lead TSOT-23
LTC2064,0.000000000000012,207,2,20000,,0.0035,0.000005,0.00000022,0.00000000002,Both,0.0000014,1.7,5.25,2.655,9,8-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
LTC2067,0.000000000000035,0,2,100000,,0.0175,0.000005,0.00000008,0.000000000035,Both,0.0000075,1.7,5.25,2.91,9,8-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
MAX40078,0.0000000000000005,59466,4,10000000,10000000,3,0.00035,0.0000000055,0.00000000026,Output Only,0.0022,2.7,5.5,1.73,33.405,Thin Shrink Small-Outline Package
LTC2058,0.0000000000005,37,2,2500000,,1.6,0.000005,0.000000009,0.0000000001,In to V- Output,0.00095,4.75,36,2.985,19.7911,12-Lead MSOP w/ EP 8-Lead SOIC (Narrow 0.15 Inch w/ EP)
ADA4505-1,0.00000000000002,3000,1,50000,,0.006,0.003,0.000000065,0.000000000002,Both,0.000009,1.8,5,0.79924,1.346625,6-Ball WLCSP (0.905mm x 1.385mm) 5-Lead SOT-23
MAX40018,,9360,2,,9000,0.064,0.0013,,0.0000000002,Output Only,0.0000004,1.7,5.5,1.01,9.61,"8-WLCSP-N/A Thin Dual Flatpack No Leads, Exposed Pad"
MAX40079,0.0000000000000005,107495,1,10000000,10000000,3,0.00035,0.0000000055,0.00000000026,Output Only,0.0022,2.7,5.5,1.12,9,6-WLCSP-N/A 6-SOT_23-N/A
MAX40087,0.0000000000000005,39331,1,42000000,42000000,10,0.00035,0.0000000055,0.00000000026,Output Only,0.0022,2.7,5.5,1.12,9,6-WLCSP-N/A 6-SOT_23-N/A
ADA4084-4S,,,4,,,,0.0001,,0.00000025,Both,,3,30,,,CER. FLATPACK WITH LEADS
ADA4625-1,0.0000000000000045,8399,1,18000000,16000000,48,0.00008,0.0000000033,0.000000000075,In to V- Output,0.004,5,36,7.185,31,8-Lead SOIC w/ EP
ADA4622-4,0.0000000000000008,0,4,8000000,15500000,23,0.00035,0.0000000125,0.00000000001,In to V- Output,0.000665,5,30,7.17,16,16-Lead LFCSP (4mm x 4mm w/ EP) 14-Lead SOIC
LT1210X,0.000000000002,0,1,,55000000,900,0.015,0.000000003,0.00006,,0.035,10,30,,32.64,16-Lead TSSOP w/ EP
LT6203X,0.00000000000075,0,2,83000000,,24,0.0005,0.000000002,0.000007,Both,0.0033,2.5,12.6,,31.00979,8-Lead SOIC (Narrow 0.15 Inch)
ADA4622-1,0.0000000000000008,674,1,8000000,15500000,23,0.00035,0.0000000125,0.00000000001,In to V- Output,0.000715,5,30,2.34,9,8-Lead SOIC 5-Lead SOT-23
LTC2063,0.000000000000012,41,1,20000,,0.0035,0.000005,0.00000022,0.00000000002,Both,0.0000014,1.7,5.25,1.905,5.28,5-Lead TSOT-23 6-Lead SC70
LTC6258,0.0000000000005,0,1,1300000,,0.24,0.0004,0.000000038,0.000000075,Both,0.00002,1.8,5.25,2.28,4,6-Lead TSOT-23 6-Lead DFN (2mm x 2mm w/ EP)
LTC6259,0.0000000000005,1347,2,1300000,,0.24,0.0004,0.000000038,0.000000075,Both,0.00002,1.8,5.25,2.805,4,8-Lead SOT-23 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (2mm x 2mm w/ EP)
LTC6260,0.0000000000005,24,4,1300000,,0.24,0.0004,0.000000038,0.000000075,Both,0.00002,1.8,5.25,4.485,14.7,10-Lead MSOP
LTC6261,0.0000000000006,0,1,30000000,,7,0.0004,0.000000013,0.0000001,Both,0.000245,1.8,5.25,2.28,4,6-Lead TSOT-23 6-Lead DFN (2mm x 2mm w/ EP)
LTC6262,0.0000000000006,3331,2,30000000,,7,0.0004,0.000000013,0.0000001,Both,0.000245,1.8,5.25,2.805,4,8-Lead SOT-23 8-Lead MSOP 10-Lead MSOP 8-Lead DFN (2mm x 2mm w/ EP)
LTC6263,0.0000000000006,190,4,30000000,,7,0.0004,0.000000013,0.0000001,Both,0.000245,1.8,5.25,4.485,19.7911,16-Lead MSOP
LT6274,0.0000000000005,,1,40000000,90000000,2200,0.0004,0.00000001,0.0000005,,0.0016,9,32,,,
LTC2066,0.000000000000035,206,1,100000,,0.0175,0.000005,0.00000008,0.000000000035,Both,0.0000075,1.7,5.25,1.785,5.28,5-Lead TSOT-23 6-Lead SC70
MAX40006,0.000000000000001,150815,1,,300000,0.14,0.001,0.00000044,0.000000003,Both,0.0000045,1.7,5.5,0.8,0.8436,6-WLCSP-N/A 6-SOT_23-N/A
MAX40007,0.000000000000004,118337,1,15000,20000,12,0.0013,0.000000513,0.0000000001,Output Only,0.0000007,1.7,5.5,0.8,0.8436,6-WLCSP-N/A 6-SOT_23-N/A
LT6018,0.000000000003,1,1,15000000,,30,0.00005,0.0000000012,0.00000015,,0.0072,8,33,5.835,12,8-Lead SOIC (Narrow 0.15 Inch w/ EP) 12(10)-Lead DFN (4mm x 3mm w/ EP)
MAX40100,0.0000000000001,1133,1,,1500000,0.7,0.00001,0.000000042,0.00000000008,Both,0.000066,1.6,5.5,1.46,0.8436,EVALUATION BOARDS 6-WLCSP-N/A
ADA4522-1,0.0000000000008,10643,1,2700000,6500000,1.7,0.000005,0.0000000058,0.00000000015,Output,0.00084,4.5,55,1.62,31,8-Lead SOIC 8-Lead MSOP
LTC6253-7,0.000000000004,21,2,2000000000,,500,0.00035,0.00000000275,0.00000075,Both,0.0033,2.5,5.25,5.43,14.7,10-Lead MSOP
ADA4077-2S,,,2,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30,,,CER. FLATPACK WITH LEADS
MAX44290,,4602,1,,15000000,7,0.00005,,0.0000000000005,Both,0.00075,1.7,5.5,0.85,1.0416,EVALUATION BOARDS 6-WLCSP-N/A
ADA4522-4,0.0000000000008,7668,4,2700000,6500000,1.7,0.000005,0.0000000058,0.00000000015,Output,0.00083,4.5,55,7.185,32.64,14-Lead SOIC 14-Lead TSSOP
ADA4530-1,0.00000000000000007,4,1,2000000,6000000,1.4,0.00004,0.000000014,0.00000000000002,Output,0.0009,4.5,16,24.27,31,8-Lead SOIC
ADA4622-2,0.0000000000000008,10521,2,8000000,15500000,23,0.00035,0.0000000125,0.00000000001,In to V- Output,0.000665,5,30,3.66,9,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC 8-Lead MSOP
ADA4806-1,0.0000000000007,0,1,30000000,105000000,160,0.000125,0.0000000052,0.0000008,In to V- Output,0.00057,3,10,1.845,9,8-Lead SOT-23
ADA4807-4,0.0000000000007,6489,4,200000000,180000000,225,0.000175,0.0000000033,0.000002,Both,0.001,2.7,11,4.755,32.64,14-Lead TSSOP
ADA4522-2,0.0000000000008,10339,2,2700000,6500000,1.7,0.000005,0.0000000058,0.00000000015,Output,0.00083,4.5,55,3.39,31,CHIPS OR DIE 8-Lead SOIC 8-Lead MSOP
MAX44211,,52503,1,,8500000,80,,,,,0.001,8,20,4.86,16.81,"EVALUATION BOARDS Thin Quad Flatpack, No Leads"
ADA4084-2S,,,2,,,,0.0001,,0.00000025,Both,,3,30,,,CER. FLATPACK WITH LEADS
ADA4177-1,0.0000000000002,8504,1,3500000,6000000,1.5,0.00006,0.000000008,0.000000001,Output,0.0005,10,30,1.815,31,8-Lead SOIC 8-Lead MSOP
ADA4350,0.0000000000011,2201,1,175000000,55000000,100,0.00008,0.000000005,0.000000000001,,0.0085,3.3,12,12.195,62.72,28-Lead TSSOP (4.4mm x 9.7mm)
ADA4610-1,0.000000000000001,0,1,16300000,9500000,25,0.0004,0.0000000073,0.000000000025,Output,0.0016,10,36,1.755,9,8-Lead SOIC 5-Lead SOT-23
ADA4807-2,0.0000000000007,0,2,200000000,180000000,225,0.000125,0.0000000033,0.000001,Both,0.001,2.7,11,3.315,9,10-Lead LFCSP (3mm x 3mm) 8-Lead MSOP
LT6023,0.000000000000012,142,2,40000,,1.45,0.00003,0.000000132,0.000000003,Output,0.000018,3,30,3.375,9,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP) 10-Lead DFN (3mm x 3mm w/ EP)
LT6023-1,0.000000000000012,142,2,40000,,1.45,0.00003,0.000000132,0.000000003,Output,0.000018,3,30,3.375,9,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP) 10-Lead DFN (3mm x 3mm w/ EP)
LTC6268-10,0.000000000000007,475,1,4000000000,,1500,0.0007,0.000000004,0.00000000000002,In to V- Output,0.0165,3.1,5.25,6.105,8.12,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23 CHIPS OR DIE
LTC6269-10,0.000000000000007,44,2,4000000000,,1500,0.0007,0.000000004,0.00000000000002,In to V- Output,0.0165,3.1,5.25,,9,8-Lead MSOP w/ EP 10-Lead DFN (3mm x 3mm w/ EP) CHIPS OR DIE
ADA4177-4,0.0000000000002,1124,4,3500000,6000000,1.5,0.00006,0.000000008,0.000000001,Output,0.0005,10,30,6.675,32.64,14-Lead SOIC 14-Lead TSSOP
ADA4807-1,0.0000000000007,992,1,200000000,180000000,225,0.000125,0.0000000033,0.000002,Both,0.001,2.7,11,1.92,5.28,6-Lead SC70 6-Lead SOT-23
ICL7621,0.00000000000001,18159,2,,44000,0.016,0.002,0.0000001,0.00000000005,Output Only,0.000006,2,16,2.04,31,"Plastic Dual-In-Line, Narrow (0.3in) Small-Outline IC, Narrow (0.15in)"
MAX44267,0.0000000000002,918,2,,5000000,3,0.00005,0.000000008,0.0000000015,Output Only,0.0012,4.5,15,3.79,33.405,EVALUATION BOARDS Thin Shrink Small-Outline Package
ADA4177-2,0.0000000000002,970,2,3500000,6000000,1.5,0.00006,0.000000008,0.000000001,Output,0.0005,10,30,3.255,31,CHIPS OR DIE 8-Lead SOIC 8-Lead MSOP
ADA4805-2,0.0000000000007,264,2,30000000,105000000,190,0.000125,0.0000000052,0.0000008,In to V- Output,0.00057,2.7,10,3.48,9,10-Lead LFCSP (3mm x 3mm) 8-Lead MSOP
LTC6268,0.0000000000000055,0,1,500000000,,400,0.0007,0.0000000043,0.00000000000002,In to V- Output,0.0165,3.1,5.25,6.03,8.12,8-Lead SOIC (Narrow 0.15 Inch) 6-Lead TSOT-23 CHIPS OR DIE
LTC6269,0.0000000000000055,680,2,500000000,,400,0.0007,0.0000000043,0.00000000000002,In to V- Output,0.0165,3.1,5.25,8.745,9,8-Lead MSOP w/ EP 10-Lead DFN (3mm x 3mm w/ EP) CHIPS OR DIE
ADA4084-1,0.00000000000055,0,1,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30,2.775,9,8-Lead SOIC 5-Lead SOT-23
ADA4610-4,0.000000000000001,784,4,16300000,9500000,25,0.0004,0.0000000073,0.000000000025,Output,0.0016,10,36,8.115,16,16-Lead LFCSP (4mm x 4mm w/ EP) 14-Lead SOIC
ADA4805-1,0.0000000000007,184,1,30000000,105000000,190,0.000125,0.0000000052,0.0000008,In to V- Output,0.00057,2.7,10,1.785,5.28,6-Lead SC70 6-Lead SOT-23
ADA4870,0.0000000000042,0,1,,52000000,2500,0.01,0.0000000021,0.000023,,0.0325,10,40,,,LFCSP:LEADFRM CHIP SCALE CHIPS OR DIE 20-Lead Power SOIC
LTC6091,0.000000000000001,0,2,12000000,,21,0.001,0.000000014,0.000000000003,Output,0.0028,9.5,140,,16,16-Lead QFN (4mm x 4mm x 0.75mm w/ EP)
LT6020,0.000000000000037,61,2,400000,,5,0.00003,0.00000005,0.000000003,Output,0.00009,3,30,3.375,9,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP) 10-Lead DFN (3mm x 3mm w/ EP)
LT6020-1,0.000000000000037,61,2,400000,,5,0.00003,0.00000005,0.000000003,Output,0.00009,3,30,3.375,9,8-Lead MSOP 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP) 10-Lead DFN (3mm x 3mm w/ EP)
ADA4077-1,0.0000000000002,1302,1,3900000,,1,0.000025,0.000000007,0.000000001,,0.0004,5,30,1.695,31,8-Lead SOIC 8-Lead MSOP
ADA4084-4,0.00000000000055,425,4,15900000,13900000,4.6,0.0001,0.0000000039,0.00000025,Both,0.000565,3,30,8.22,16,16-Lead LFCSP (4mm x 4mm) 14-Lead TSSOP
MAX44241,,3835,1,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36,1.63,9,"5-SOT_23-N/A Micro-MAX, Thin Shrink Small-Outline"
MAX44242,0.0000000000003,184536,2,,10000000,8,0.0006,0.000000005,0.0000000000005,Output Only,0.0012,2.7,20,3.66,9,"EVALUATION BOARDS 8-SOT_23-N/A Micro-MAX, Thin Shrink Small-Outline"
MAX44243,,,4,,5000000,3.8,0.000005,0.000000009,0.0000000006,Output Only,0.00042,2.7,36,4.62,33.405,14-SOIC_N-150_MIL Thin Shrink Small-Outline Package
MAX44244,0.0000000000001,10188,1,,1000000,0.7,0.0000075,0.00000005,0.0000000003,Output Only,0.0001,2.7,36,1.73,9,"5-SOT_23-N/A Micro-MAX, Thin Shrink Small-Outline"
AD8244,0.0000000000000008,5481,4,,3000000,0.8,0.00035,0.000000013,0.000000000002,In to V- Output,0.00018,3,36,3.66,15.965,10-Lead MSOP
ADA4077-4,0.0000000000002,193,4,3900000,,1,0.00005,0.000000007,0.000000001,,0.0004,5,30,6.435,32.64,14-Lead SOIC 14-Lead TSSOP
ADA4610-2S,,,2,,,,0.0004,,0.000000000025,Output,,10,36,,,CER. FLATPACK WITH LEADS
ADA4700-1,0.0000000000004,0,1,3500000,4800000,20,0.002,0.0000000147,0.00000003,,0.0017,9,110,5.22,31,8-Lead SOIC w/ EP
LT6238,0.000000000001,162,4,215000000,,60,0.00035,0.0000000011,0.00001,Output,0.00315,3,12.6,5.94,30.85364,16-Lead SSOP (Narrow 0.15 Inch)
