Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
ADA4097-2,50f,69,2,130k,,100m,60µ,53n,300p,Both,32.5µ,3,50,$4.39500 (ADA4097-2BCPZ-RL7),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (ADA4097-2BCPZ),"10-Lead DFN (3mm x 3mm w/ EP),8-Lead SOIC,8-Lead MSOP"
ADA4098-2,150f,21,2,1.05M,1.05M,400m,35µ,17n,700p,Both,165µ,3,50,$4.39500 (ADA4098-2BCPZ),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (ADA4098-2BCPZ-RL7),"10-Lead DFN (3mm x 3mm w/ EP),8-Lead SOIC,8-Lead MSOP"
MAX40263,,1627,2,15M,15M,7,50µ,12.7n,1.5p,Both,750µ,1.8,5.5,$0.62000 (MAX40263AVB+T),"3.5475mm² (Ultra Thin Quad Flatpack, No Leads) (MAX40263AVB+T)","Ultra Thin Quad Flatpack, No Leads"
ADA4099-2,500f,0,2,8M,8M,4,40µ,7n,10n,Both,1.5m,3.15,50,$4.39500 (ADA4099-2BCPZ),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (ADA4099-2BCPZ),"10-Lead DFN (3mm x 3mm w/ EP),CHIPS OR DIE,8-Lead SOIC,8-Lead MSOP"
ADA4077-4S,,,2,3.9M,,1,25µ,7n,1n,,400µ,5,30,,,CER. FLATPACK WITH LEADS
ADA4097-1,50f,0,1,130k,,100m,60µ,53n,300p,Both,32.5µ,3,50,$2.98500 (ADA4097-1BUJZ-RL7),8.12mm² (6-Lead TSOT) (ADA4097-1BUJZ-R5),6-Lead TSOT
MAX40024,10f,,2,80k,80k,20m,400µ,32n,5p,Both,17µ,1.6,3.6,$0.92000 (MAX40024ANL+T),,9-WLCSP-N/A
MAX40110,100f,86526,1,,15M,7,50µ,12.7n,500f,Both,750µ,1.7,5.5,$0.44000 (MAX40110AYT+T),,6-LGA-1.5X1X0.5
MAX40111,100f,90892,1,,15M,7,50µ,12.7n,500f,Both,750µ,1.7,5.5,$0.44000 (MAX40111ANT+T),,6-WLCSP-N/A
ADA4098-1,150f,196,1,1.05M,1.05M,400m,35µ,17n,700p,Both,165µ,3,50,$2.98500 (ADA4098-1BUJZ-RL7),8.12mm² (6-Lead TSOT) (ADA4098-1HUJZ-RL7),6-Lead TSOT
ADA4099-1,500f,146,1,8M,8M,4,30µ,7n,10n,Both,1.5m,3.15,55,$2.98500 (ADA4099-1BUJZ-R5),8.12mm² (6-Lead TSOT) (ADA4099-1BUJZ-R5),6-Lead TSOT
MAX40023,10f,341297,1,80k,80k,20m,400µ,32n,5p,Both,17µ,1.6,3.6,$0.56000 (MAX40023ANT+T),,6-WLCSP-N/A
LTC2068,35f,0,4,100k,,17.5m,5µ,80n,35p,Both,7.5µ,1.7,5.25,$3.84000 (LTC2068IF#PBF),9mm² (16-Lead Plastic QFN) (LTC2068HUD#PBF),"14-Lead TSSOP,16-Lead Plastic QFN"
ADA4523-1,1p,693,1,5M,,1.85,4µ,4.2n,300p,Output,4.5m,4.5,36,$1.63500 (ADA4523-1BCPZ),9mm² (8-Lead LFCSP (3mm x 3mm x 0.75mm)) (ADA4523-1BCPZ),"8-Lead LFCSP (3mm x 3mm x 0.75mm),8-Lead SOIC,8-Lead MSOP"
LTC2065,12f,16,4,20k,,3.5m,5µ,220n,20p,Both,1.4µ,1.7,5.25,$3.84000 (LTC2065IF#PBF),9mm² (16-Lead Plastic QFN) (LTC2065HUD#TRPBF),"14-Lead TSSOP,16-Lead Plastic QFN"
LTC6226,2.4p,548,1,420M,330M,180,95µ,1n,20µ,"In to V-, Output",5.5m,2.8,11.75,$2.88000 (LTC6226IDC#TRMPBF),4mm² (6-Lead DFN (2mm x 2mm w/ EP)) (LTC6226HDC#TRPBF),"SOIC 150 MIL,6-Lead TSOT-23,16-Lead MSOP,6-Lead DFN (2mm x 2mm w/ EP)"
LTC6227,2.4p,556,2,420M,330M,180,95µ,1n,20µ,"In to V-, Output",5.5m,2.8,11.75,$4.18500 (LTC6227IDD#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LTC6227HDD#TRPBF),"8-Lead MSOP w/ EP,10-Lead DFN (3mm x 3mm w/ EP)"
LTC6229,3p,113,2,890M,730M,500,95µ,880p,2.5µ,"In to V-, Output",16m,2.8,11.75,$4.18500 (LTC6229IDD#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LTC6229IDD#PBF),"8-Lead MSOP w/ EP,10-Lead DFN (3mm x 3mm w/ EP)"
ADA4625-2,4.5f,7700,2,18M,16M,48,100µ,3.3n,75p,"In to V-, Output",4m,5,36,$8.80500 (ADA4625-2ARDZ-R7),31mm² (8-Lead SOIC w/ EP) (ADA4625-2ARDZ),8-Lead SOIC w/ EP
LTC6228,3p,16141,1,890M,730M,500,95µ,880p,2.5µ,"In to V-, Output",16m,2.8,11.75,$3.04500 (LTC6228IS8#PBF),4mm² (6-Lead DFN (2mm x 2mm w/ EP)) (LTC6228IDC#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),6-Lead TSOT-23,6-Lead DFN (2mm x 2mm w/ EP)"
ADHV4702-1,1f,99,1,10M,10M,74,1m,8n,2p,,3m,24,220,,49mm² (12-Lead LFCSP (7mm x 7mm x 0.75mm w/ EP)) (ADHV4702-1BCPZ),12-Lead LFCSP (7mm x 7mm x 0.75mm w/ EP)
LTC2050HV,3f,1394,1,3M,,2,3µ,,50p,"In to V-, Output",800µ,2.7,11,$2.35500 (LTC2050HVCS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LTC2050HVCS5#TRMPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23,6-Lead TSOT-23"
LTC2064,12f,207,2,20k,,3.5m,5µ,220n,20p,Both,1.4µ,1.7,5.25,$2.65500 (LTC2064IMS8#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LTC2064IDD#TRPBF),"8-Lead MSOP,10-Lead DFN (3mm x 3mm w/ EP)"
LTC2067,35f,0,2,100k,,17.5m,5µ,80n,35p,Both,7.5µ,1.7,5.25,$2.91000 (LTC2067IMS8#PBF),9mm² (10-Lead DFN (3mm x 3mm w/ EP)) (LTC2067IDD#PBF),"8-Lead MSOP,10-Lead DFN (3mm x 3mm w/ EP)"
MAX40078,500a,59466,4,10M,10M,3,350µ,5.5n,260p,Output Only,2.2m,2.7,5.5,$1.73000 (MAX40078AUD+),33.405mm² (Thin Shrink Small-Outline Package) (MAX40078AUD+),Thin Shrink Small-Outline Package
LTC2058,500f,37,2,2.5M,,1.6,5µ,9n,100p,"In to V-, Output",950µ,4.75,36,$2.98500 (LTC2058IS8E#PBF),19.7911mm² (12-Lead MSOP w/ EP) (LTC2058HMSE#PBF),"12-Lead MSOP w/ EP,8-Lead SOIC (Narrow 0.15 Inch w/ EP)"
ADA4505-1,20f,3000,1,50k,,6m,3m,65n,2p,Both,9µ,1.8,5,$0.79924 (ADA4505-1ARJZ-R7),1.346625mm² (6-Ball WLCSP (0.905mm x 1.385mm)) (ADA4505-1ACBZ-R7),"6-Ball WLCSP (0.905mm x 1.385mm),5-Lead SOT-23"
MAX40018,,9360,2,,9k,64m,1.3m,,200p,Output Only,400n,1.7,5.5,$1.01000 (MAX40018ANA+T),"9.61mm² (Thin Dual Flatpack No Leads, Exposed Pad) (MAX40018ATA+T)","8-WLCSP-N/A,Thin Dual Flatpack No Leads, Exposed Pad"
MAX40079,500a,107495,1,10M,10M,3,350µ,5.5n,260p,Output Only,2.2m,2.7,5.5,$1.12000 (MAX40079ANT+T),9mm² (6-SOT_23-N/A) (MAX40079AUT+),"6-WLCSP-N/A,6-SOT_23-N/A"
MAX40087,500a,39331,1,42M,42M,10,350µ,5.5n,260p,Output Only,2.2m,2.7,5.5,$1.12000 (MAX40087ANT+T),9mm² (6-SOT_23-N/A) (MAX40087AUT+T),"6-WLCSP-N/A,6-SOT_23-N/A"
ADA4084-4S,,,4,,,,100µ,,250n,Both,,3,30,,,CER. FLATPACK WITH LEADS
ADA4625-1,4.5f,8399,1,18M,16M,48,80µ,3.3n,75p,"In to V-, Output",4m,5,36,$7.18500 (ADA4625-1ARDZ-R7),31mm² (8-Lead SOIC w/ EP) (ADA4625-1ARDZ-R7),8-Lead SOIC w/ EP
ADA4622-4,800a,0,4,8M,15.5M,23,350µ,12.5n,10p,"In to V-, Output",665µ,5,30,$7.17000 (ADA4622-4ARZ),16mm² (16-Lead LFCSP (4mm x 4mm w/ EP)) (ADA4622-4ACPZ-R7),"16-Lead LFCSP (4mm x 4mm w/ EP),14-Lead SOIC"
